lbb12232248
----------------------------------------------------------------------
  Node                Demand      Head  Pressure   Quality
  ID                     LPS         m         m          
  ----------------------------------------------------------------------
   2                     4.30    278.22     45.27      0.00
  3                    14.80    278.26     50.34      0.00
  5                     6.10    243.00     28.60      0.00
  9                    31.00    243.02     39.21      0.00
  12                   16.80    242.43     43.90      0.00
  17                   29.40    242.50     41.54      0.00
  18                   22.30    242.24     36.92      0.00
  22                    9.80    278.30     46.16      0.00
  23                    7.50    278.55     41.93      0.00
  24                   65.80    278.51     32.15      0.00
  25                   18.10    278.71     37.29      0.00
  26                   11.40    278.91     46.43      0.00
  27                   44.40    243.22     44.51      0.00
  32                   25.50    243.30     41.37      0.00
  33                   28.40    243.57     47.32      0.00
  36                    6.60    278.70     55.33      0.00
  39                   33.70    279.37     28.70      0.00
  40                   22.60    279.27     44.00      0.00
  41                   28.70    278.86     30.44      0.00
  42                   17.10    242.40     39.00      0.00
  43                   18.00    278.46     39.69      0.00
  47                   38.10    279.44     45.25      0.00
  48                   49.20    243.76     48.38      0.00
  50                   14.30    219.53     29.52      0.00
  51                   42.20    219.91     31.18      0.00
  52                   46.60    220.08     31.12      0.00
  55                   26.20    245.12     38.01      0.00
  56                   26.60    244.89     33.81      0.00
  59                   20.30    220.08     34.67      0.00
  60                   25.00    220.31     29.96      0.00
  61                   77.80    220.32     29.12      0.00
  62                   23.70    220.45     29.67      0.00
  63                    9.80    243.40     47.50      0.00
  67                   81.40    228.70     40.40      0.00
  68                   38.10    228.51     36.55      0.00
  69                   63.70    228.47     38.34      0.00
  70                   11.30    228.37     36.14      0.00
  71                   22.40    243.75     29.14      0.00
  72                   18.80    244.41     51.99      0.00
  73                   29.40    245.28     47.30      0.00
  74                   25.10    244.60     33.44      0.00
  78                   19.90    244.23     37.01      0.00
  79                   13.50    242.07     31.94      0.00
  80                   27.90    278.77     40.30      0.00
  81                   36.20    279.07     41.89      0.00
  83                   17.70    243.87     50.09      0.00
  84                   88.80    219.73     28.77      0.00
  85                   75.20    220.29     28.46      0.00
  86                   10.10    279.37     56.05      0.00
  87                   32.10    245.47     46.91      0.00
  88                   17.60    279.03     58.34      0.00
  89                   20.90    242.86     39.85      0.00
  90                   16.70    216.52     28.52      0.00
  93                    5.90    216.41     30.55      0.00
  95                   10.90    216.43     29.80      0.00
  97                   16.90    229.80     43.53      0.00
  103                  18.20    223.32     32.58      0.00
  104                  29.00    228.83     38.79      0.00
  106                  12.50    224.79     34.22      0.00
  107                  27.80    229.09     40.43      0.00
  108                  10.50    222.98     31.61      0.00
  110                  33.60    245.27     49.78      0.00
  112                  21.50    279.13     40.82      0.00
  113                   6.00    219.79     33.82      0.00
  114                   7.10    219.54     31.03      0.00
  116                  12.80    243.43     39.12      0.00
  117                   8.60    278.13     50.63      0.00
  1                  -736.40    230.00      0.00      0.00 Reservoir
  4                   -33.50    217.00      0.00      0.00 Reservoir
  6                  -401.30    280.00      0.00      0.00 Reservoir
  7                  -579.00    246.00      0.00      0.00 Reservoir
